Date,Store ID,Product ID,Quantity Sold
2023-01-31,Store002,Prod022,16
2023-05-01,Store001,Prod001,16
2023-05-01,Store002,Prod002,19
2023-05-02,Store003,Prod003,11
2023-05-02,Store004,Prod004,14
2023-05-03,Store005,Prod005,9
2023-05-03,Store006,Prod006,25
2023-05-04,Store007,Prod007,13
2023-05-04,Store008,Prod008,21
2023-05-05,Store009,Prod009,17
2023-05-05,Store010,Prod010,13
2023-05-06,Store001,Prod011,18
2023-05-06,Store002,Prod012,20
2023-05-07,Store003,Prod013,10
2023-05-07,Store004,Prod014,15
2023-05-08,Store005,Prod015,8
2023-05-08,Store006,Prod016,26
2023-05-09,Store007,Prod017,14
2023-05-09,Store008,Prod018,22
2023-05-10,Store009,Prod019,16
2023-05-10,Store010,Prod020,12
2023-05-11,Store001,Prod021,17
2023-05-11,Store002,Prod022,19
2023-05-12,Store003,Prod023,11
2023-05-12,Store004,Prod024,14
2023-05-13,Store005,Prod025,9
2023-05-13,Store006,Prod006,25
2023-05-14,Store007,Prod007,13
2023-05-14,Store008,Prod008,21
2023-05-15,Store009,Prod009,17
2023-05-15,Store010,Prod010,13
2023-05-16,Store001,Prod011,18
2023-05-16,Store002,Prod012,20
2023-05-17,Store003,Prod013,10
2023-05-17,Store004,Prod014,15
2023-05-18,Store005,Prod015,8
2023-05-18,Store006,Prod016,26
2023-05-19,Store007,Prod017,14
2023-05-19,Store008,Prod018,22
2023-05-20,Store009,Prod019,16
2023-05-20,Store010,Prod020,12
2023-05-21,Store001,Prod021,17
2023-05-21,Store002,Prod022,19
2023-05-22,Store003,Prod023,11
2023-05-22,Store004,Prod024,14
2023-05-23,Store005,Prod025,9
2023-05-23,Store006,Prod006,25
2023-05-24,Store007,Prod007,13
2023-05-24,Store008,Prod008,21
2023-05-25,Store009,Prod009,17
2023-05-25,Store010,Prod010,13
2023-05-26,Store001,Prod011,18
2023-05-26,Store002,Prod012,20
2023-05-27,Store003,Prod013,10
2023-05-27,Store004,Prod014,15
2023-05-28,Store005,Prod015,8
2023-05-28,Store006,Prod016,26
2023-05-29,Store007,Prod017,14
2023-05-29,Store008,Prod018,22
2023-05-30,Store009,Prod019,16
2023-05-30,Store010,Prod020,12
2023-05-31,Store001,Prod021,17
2023-05-31,Store002,Prod022,19
Prod001,Product A,52,8.666666666666666
Prod002,Product B,66,11.0
Prod003,Product C,37,6.166666666666667
Prod004,Product D,52,8.666666666666666
Prod005,Product E,28,4.666666666666667
Prod006,Product F,224,37.333333333333336
Prod007,Product G,109,18.166666666666668
Prod008,Product H,192,32.0
Prod009,Product I,152,25.333333333333332
Prod010,Product J,117,19.5
Prod011,Product K,161,26.833333333333332
Prod012,Product L,181,30.166666666666668
Prod013,Product M,90,15.0
Prod014,Product N,142,23.666666666666668
Prod015,Product O,70,11.666666666666666
Prod016,Product P,232,38.666666666666664
Prod017,Product Q,120,20.0
Prod018,Product R,200,33.333333333333336
Prod019,Product S,141,23.5
Prod020,Product T,107,17.833333333333332
Prod021,Product U,136,22.666666666666668
Prod022,Product V,154,25.666666666666668
Prod023,Product W,66,11.0
Prod024,Product X,92,15.333333333333334
Prod025,Product Y,51,8.5
2022-01-01,Store001,Prod001,10
2022-01-01,Store002,Prod002,15
2022-01-02,Store003,Prod003,8
2022-01-02,Store004,Prod004,12
2022-01-03,Store005,Prod005,5
2022-01-03,Store006,Prod006,20
2022-01-04,Store007,Prod007,7
2022-01-04,Store008,Prod008,18
2022-01-05,Store009,Prod009,14
2022-01-05,Store010,Prod010,9
2022-01-06,Store001,Prod011,11
2022-01-06,Store002,Prod012,16
2022-01-07,Store003,Prod013,6
2022-01-07,Store004,Prod014,13
2022-01-08,Store005,Prod015,4
2022-01-08,Store006,Prod016,19
2022-01-09,Store007,Prod017,9
2022-01-09,Store008,Prod018,17
2022-01-10,Store009,Prod019,12
2022-01-10,Store010,Prod020,8
2022-01-11,Store001,Prod021,10
2022-01-11,Store002,Prod022,15
2022-01-12,Store003,Prod023,8
2022-01-12,Store004,Prod024,12
2022-01-13,Store005,Prod025,5
2022-06-01,Store001,Prod001,14
2022-06-01,Store002,Prod002,17
2022-06-02,Store003,Prod003,10
2022-06-02,Store004,Prod004,13
2022-06-03,Store005,Prod005,8
2022-06-03,Store006,Prod006,22
2022-06-04,Store007,Prod007,11
2022-06-04,Store008,Prod008,19
2022-06-05,Store009,Prod009,15
2022-06-05,Store010,Prod010,12
2022-06-06,Store001,Prod011,16
2022-06-06,Store002,Prod012,18
2022-06-07,Store003,Prod013,9
2022-06-07,Store004,Prod014,14
2022-06-08,Store005,Prod015,7
2022-06-08,Store006,Prod016,23
2022-06-09,Store007,Prod017,12
2022-06-09,Store008,Prod018,20
2022-06-10,Store009,Prod019,14
2022-06-10,Store010,Prod020,11
2022-06-11,Store001,Prod021,15
2022-06-11,Store002,Prod022,17
2022-06-12,Store003,Prod023,10
2022-06-12,Store004,Prod024,13
2022-06-13,Store005,Prod025,8
2022-06-13,Store006,Prod006,22
2022-06-14,Store007,Prod007,11
2022-06-14,Store008,Prod008,19
2022-06-15,Store009,Prod009,15
2022-06-15,Store010,Prod010,12
2022-06-16,Store001,Prod011,16
2022-06-16,Store002,Prod012,18
2022-06-17,Store003,Prod013,9
2022-06-17,Store004,Prod014,14
2022-06-18,Store005,Prod015,7
2022-06-18,Store006,Prod016,23
2022-06-19,Store007,Prod017,12
2022-06-19,Store008,Prod018,20
2022-06-20,Store009,Prod019,14
2022-06-20,Store010,Prod020,11
2022-06-21,Store001,Prod021,15
2022-06-21,Store002,Prod022,17
2022-06-22,Store003,Prod023,10
2022-06-22,Store004,Prod024,13
2022-06-23,Store005,Prod025,8
2022-06-23,Store006,Prod006,22
2022-06-24,Store007,Prod007,11
2022-06-24,Store008,Prod008,19
2022-06-25,Store009,Prod009,15
2022-06-25,Store010,Prod010,12
2022-06-26,Store001,Prod011,16
2022-06-26,Store002,Prod012,18
2022-06-27,Store003,Prod013,9
2022-06-27,Store004,Prod014,14
2022-06-28,Store005,Prod015,7
2022-06-28,Store006,Prod016,23
2022-06-29,Store007,Prod017,12
2022-06-29,Store008,Prod018,20
2022-06-30,Store009,Prod019,14
2022-06-30,Store010,Prod020,11
2023-01-01,Store001,Prod001,12
2023-01-01,Store002,Prod002,15
2023-01-02,Store003,Prod003,8
2023-01-02,Store004,Prod004,13
2023-01-03,Store005,Prod005,6
2023-01-03,Store006,Prod006,21
2023-01-04,Store007,Prod007,10
2023-01-04,Store008,Prod008,18
2023-01-05,Store009,Prod009,14
2023-01-05,Store010,Prod010,11
2023-01-06,Store001,Prod011,16
2023-01-06,Store002,Prod012,17
2023-01-07,Store003,Prod013,9
2023-01-07,Store004,Prod014,14
2023-01-08,Store005,Prod015,7
2023-01-08,Store006,Prod016,22
2023-01-09,Store007,Prod017,11
2023-01-09,Store008,Prod018,19
2023-01-10,Store009,Prod019,13
2023-01-10,Store010,Prod020,10
2023-01-11,Store001,Prod021,15
2023-01-11,Store002,Prod022,16
2023-01-12,Store003,Prod023,8
2023-01-12,Store004,Prod024,13
2023-01-13,Store005,Prod025,6
2023-01-13,Store006,Prod006,21
2023-01-14,Store007,Prod007,10
2023-01-14,Store008,Prod008,18
2023-01-15,Store009,Prod009,14
2023-01-15,Store010,Prod010,11
2023-01-16,Store001,Prod011,16
2023-01-16,Store002,Prod012,17
2023-01-17,Store003,Prod013,9
2023-01-17,Store004,Prod014,14
2023-01-18,Store005,Prod015,7
2023-01-18,Store006,Prod016,22
2023-01-19,Store007,Prod017,11
2023-01-19,Store008,Prod018,19
2023-01-20,Store009,Prod019,13
2023-01-20,Store010,Prod020,10
2023-01-21,Store001,Prod021,15
2023-01-21,Store002,Prod022,16
2023-01-22,Store003,Prod023,8
2023-01-22,Store004,Prod024,13
2023-01-23,Store005,Prod025,6
2023-01-23,Store006,Prod006,21
2023-01-24,Store007,Prod007,10
2023-01-24,Store008,Prod008,18
2023-01-25,Store009,Prod009,14
2023-01-25,Store010,Prod010,11
2023-01-26,Store001,Prod011,16
2023-01-26,Store002,Prod012,17
2023-01-27,Store003,Prod013,9
2023-01-27,Store004,Prod014,14
2023-01-28,Store005,Prod015,7
2023-01-28,Store006,Prod016,22
2023-01-29,Store007,Prod017,11
2023-01-29,Store008,Prod018,19
2023-01-30,Store009,Prod019,13
2023-01-30,Store010,Prod020,10
2023-01-31,Store001,Prod021,15
2023-01-31,Store002,Prod022,16
2023-05-01,Store001,Prod001,16
2023-05-01,Store002,Prod002,19
2023-05-02,Store003,Prod003,11
2023-05-02,Store004,Prod004,14
2023-05-03,Store005,Prod005,9
2023-05-03,Store006,Prod006,25
2023-05-04,Store007,Prod007,13
2023-05-04,Store008,Prod008,21
2023-05-05,Store009,Prod009,17
2023-05-05,Store010,Prod010,13
2023-05-06,Store001,Prod011,18
2023-05-06,Store002,Prod012,20
2023-05-07,Store003,Prod013,10
2023-05-07,Store004,Prod014,15
2023-05-08,Store005,Prod015,8
2023-05-08,Store006,Prod016,26
2023-05-09,Store007,Prod017,14
2023-05-09,Store008,Prod018,22
2023-05-10,Store009,Prod019,16
2023-05-10,Store010,Prod020,12
2023-05-11,Store001,Prod021,17
2023-05-11,Store002,Prod022,19
2023-05-12,Store003,Prod023,11
2023-05-12,Store004,Prod024,14
2023-05-13,Store005,Prod025,9
2023-05-13,Store006,Prod006,25
2023-05-14,Store007,Prod007,13
2023-05-14,Store008,Prod008,21
2023-05-15,Store009,Prod009,17
2023-05-15,Store010,Prod010,13
2023-05-16,Store001,Prod011,18
2023-05-16,Store002,Prod012,20
2023-05-17,Store003,Prod013,10
2023-05-17,Store004,Prod014,15
2023-05-18,Store005,Prod015,8
2023-05-18,Store006,Prod016,26
2023-05-19,Store007,Prod017,14
2023-05-19,Store008,Prod018,22
2023-05-20,Store009,Prod019,16
2023-05-20,Store010,Prod020,12
2023-05-21,Store001,Prod021,17
2023-05-21,Store002,Prod022,19
2023-05-22,Store003,Prod023,11
2023-05-22,Store004,Prod024,14
2023-05-23,Store005,Prod025,9
2023-05-23,Store006,Prod006,25
2023-05-24,Store007,Prod007,13
2023-05-24,Store008,Prod008,21
2023-05-25,Store009,Prod009,17
2023-05-25,Store010,Prod010,13
2023-05-26,Store001,Prod011,18
2023-05-26,Store002,Prod012,20
2023-05-27,Store003,Prod013,10
2023-05-27,Store004,Prod014,15
2023-05-28,Store005,Prod015,8
2023-05-28,Store006,Prod016,26
2023-05-29,Store007,Prod017,14
2023-05-29,Store008,Prod018,22
2023-05-30,Store009,Prod019,16
2023-05-30,Store010,Prod020,12
2023-05-31,Store001,Prod021,17
2023-05-31,Store002,Prod022,19
