Date,Open Price,High Price,Low Price,Close_Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-Oct-17,878.9,883.95,867.3,874.25,874.7779731,332838,6014,291159351,94862,28.5,16.65,-4.65
16-Oct-17,879.9,891.7,861.75,875.2,876.6475795,630948,13598,553119037,138500,21.95,29.95,-4.7
13-Oct-17,880,891,874.25,876.7,880.8222368,625450,13222,550910268,227173,36.32,16.75,-3.3
12-Oct-17,841,876.2,841,872.5,861.3056144,632480,11893,544758575,300820,47.56,35.2,31.5
11-Oct-17,845,857.9,836.3,840.4,850.0971188,426076,9701,362205980,164028,38.5,21.6,-4.6
10-Oct-17,831,846.9,830.75,843.4,842.435583,316112,5386,266303997,137554,43.51,16.15,12.4
09-Oct-17,836.85,838,828.25,830.75,832.4467606,252670,4972,210334323,111679,44.2,9.75,-6.1
06-Oct-17,824.9,838.9,822.65,836.85,832.5778099,279656,5227,232835380,130191,46.55,16.25,11.95
05-Oct-17,825,828.25,818.75,824.2,822.8070609,354967,5529,292069354,159987,45.07,9.5,-0.8
04-Oct-17,798.35,824.95,795.5,819.2,811.6811734,410935,7632,333548203,179923,43.78,29.45,20.85
03-Oct-17,792.35,803.7,786.25,798.35,798.3802257,606837,9055,484486661,356774,58.79,17.45,6
29-Sep-17,791,793.5,780,782.15,785.3052339,643300,8766,505186857,110069,17.11,13.5,-8.85
28-Sep-17,800,802.5,781.15,786.75,793.1419531,915584,12488,726188082,486315,53.12,21.35,-13.25
27-Sep-17,827.5,827.5,795.5,798.6,806.1426765,590896,13091,476346483,195786,33.13,32,-28.9
26-Sep-17,820.5,827,812.5,819.2,818.2639527,459787,11139,376227128,84452,18.37,14.5,-1.3
25-Sep-17,817.9,827.7,805.3,820.45,819.0158179,713622,9159,584467706,306877,43,22.4,2.55
22-Sep-17,840.7,840.7,814,817.5,825.1978007,447324,9621,369130781,157322,35.17,26.7,-23.2
21-Sep-17,848,851.4,837,841.3,841.948846,415569,5741,349887840,126425,30.42,14.4,-6.7
20-Sep-17,856.25,872.1,845,847.1,854.9729188,745756,12796,637601184,198535,26.62,27.1,-9.15
19-Sep-17,849,849,837.55,840,840.5142155,199852,3467,167978447,49763,24.9,11.45,-9
18-Sep-17,847,851.3,843.1,845.4,847.0527626,272693,4115,230985359,63036,23.12,8.2,-1.6
15-Sep-17,842.1,852.15,835.4,843.4,842.2777821,414656,6578,349255536,96486,23.27,16.75,1.3
14-Sep-17,857,861.4,842,844.2,849.1343116,466073,7924,395758576,152876,32.8,19.4,-12.8
13-Sep-17,824,859.25,822.5,849.1,847.6676509,751535,16761,637051908,241224,32.1,36.75,25.1
12-Sep-17,822.1,824.6,817.45,823.3,821.4345681,140436,3724,115358985,58273,41.49,7.15,1.2
11-Sep-17,820.4,827,816.05,818.1,823.7050423,982073,3754,808938482,842610,85.8,10.95,-2.3
08-Sep-17,820.1,823.6,812.8,817.15,817.433113,293009,5698,239515259,117286,40.03,10.8,-2.95
07-Sep-17,824,832.7,816.5,818.9,822.9544913,639020,11667,525884379,249088,38.98,16.2,-5.1
06-Sep-17,1631.4,1652.4,1625,1644.6,1644.009781,949193,13264,1560482576,590763,62.24,27.4,13.2
05-Sep-17,1619,1634.9,1619,1633,1629.58286,1047047,6221,1706249845,893361,85.32,15.9,14
04-Sep-17,1615,1635.75,1596.2,1611.35,1613.510985,1027025,7786,1657116119,775601,75.52,39.55,-3.65
01-Sep-17,1601.8,1615.95,1598.2,1609.35,1608.625736,202910,5453,326406248,82040,40.43,17.75,7.55
31-Aug-17,1570.3,1597.5,1570.3,1593.5,1585.70094,314208,9754,498239921,,,27.2,23.2
30-Aug-17,1545,1568.6,1543.6,1564.15,1556.5817,188965,5859,294139461,43257,22.89,25,19.15
29-Aug-17,1560,1566.8,1530,1531.75,1542.742949,203547,9964,314020699,88991,43.72,36.8,-28.25
28-Aug-17,1579,1582.25,1561.7,1565.8,1568.057315,133246,4929,208937365,64275,48.24,20.55,-13.2
24-Aug-17,1591.7,1592.2,1564.6,1567.4,1575.516926,168554,5170,265559680,57522,34.13,27.6,-24.3
23-Aug-17,1567,1585,1554,1581.3,1567.352532,191458,5895,300082181,48727,25.45,31,14.3
22-Aug-17,1574,1579.5,1558,1563.35,1571.21915,159019,4482,249853698,49601,31.19,21.5,-10.65
21-Aug-17,1577.05,1585.1,1563,1565.8,1573.924633,436281,13239,686673413,225917,51.78,22.1,-11.25
18-Aug-17,1566,1579.5,1553.65,1575.4,1568.463691,142815,5197,224000142,35537,24.88,25.85,9.4
17-Aug-17,1571.7,1596.85,1560.1,1566.05,1580.65346,313387,7954,495356246,121316,38.71,36.75,-5.65
16-Aug-17,1571,1578,1550.55,1566.95,1561.450133,239849,10298,374512253,68450,28.54,27.45,-4.05
14-Aug-17,1556.5,1585,1556.5,1573.15,1572.439353,291672,10239,458636531,129209,44.3,28.5,16.65
11-Aug-17,1554.9,1578,1535.5,1546.55,1556.808395,251961,9085,392255000,80886,32.1,42.5,-8.35
10-Aug-17,1597.95,1606.85,1577.3,1584.05,1591.165154,339199,6331,539721629,193193,56.96,29.55,-13.9
09-Aug-17,1600,1619.9,1585.75,1598.85,1605.260772,193556,6416,310707854,43700,22.58,34.15,-1.15
08-Aug-17,1620,1621,1588.25,1603.4,1604.643725,207090,6116,332305669,60428,29.18,32.75,-16.6
07-Aug-17,1629.6,1632,1612.8,1616.6,1621.435716,202763,7256,328767170,57799,28.51,19.2,-13
04-Aug-17,1660.55,1663.2,1615.55,1622.5,1626.499937,284552,12820,462823810,104517,36.73,47.65,-38.05
03-Aug-17,1629.9,1665,1616.9,1651.55,1648.020785,381187,11494,628204099,94839,24.88,48.1,21.65
02-Aug-17,1608.6,1636,1605,1629.1,1625.680718,334548,8329,543868233,114296,34.16,31,20.5
01-Aug-17,1623.85,1625,1591.6,1603.55,1605.076383,142243,6365,228310880,50441,35.46,33.4,-20.3
31-Jul-17,1600.05,1618,1596,1613.85,1609.867411,192588,6395,310041145,57492,29.85,22,13.8
28-Jul-17,1597,1605,1579,1594.25,1591.922902,228358,8293,363528330,62738,27.47,26,-2.75
27-Jul-17,1629.95,1631.1,1591,1598.35,1614.65722,250169,7961,403937182,77407,30.94,40.1,-31.6
26-Jul-17,1610,1629.95,1602,1621.9,1621.158426,744107,12009,1206315333,374277,50.3,27.95,11.9
25-Jul-17,1626.7,1629,1600,1603.35,1611.358971,281744,8756,453990722,78316,27.8,29,-23.35
24-Jul-17,1604,1624.8,1586.2,1616.1,1613.396474,793324,21312,1279946144,214100,26.99,38.6,12.1
21-Jul-17,1554,1592.2,1544.4,1586.2,1573.737296,1975685,54115,3109209169,289301,14.64,47.8,32.2
20-Jul-17,1540,1549.85,1521.05,1528.7,1535.701708,227482,5937,349344496,64552,28.38,28.8,-11.3
19-Jul-17,1519.7,1540.8,1515,1533.5,1528.224204,140176,4640,214220356,37947,27.07,25.8,13.8
18-Jul-17,1548.4,1551.5,1512,1519.9,1526.355973,253446,7240,386848816,89976,35.5,39.5,-28.5
17-Jul-17,1534.3,1558.8,1534.3,1551.35,1549.991994,247452,8111,383548619,87024,35.17,24.5,17.05
14-Jul-17,1522,1534,1515.25,1531.05,1526.8346,253773,7416,387469397,85833,33.82,18.75,9.05
13-Jul-17,1510,1523.6,1506.7,1518.85,1516.746565,287454,7067,435994867,105299,36.63,16.9,8.85
12-Jul-17,1498.8,1524.5,1496,1510.5,1512.914273,285428,8949,431828095,82390,28.87,28.5,11.7
11-Jul-17,1500,1504,1487.05,1495.2,1495.982584,263784,5049,394616270,107781,40.86,16.95,-4.8
10-Jul-17,1492,1508,1487,1492.45,1497.048222,1255041,27963,1878856897,694520,55.34,21,0.45
07-Jul-17,1438,1497,1438,1490.8,1468.113958,677607,14622,994804295,294637,43.48,59,52.8
06-Jul-17,1445.3,1449.95,1437.35,1441.4,1444.045857,161198,6728,232777304,56299,34.93,12.6,-3.9
05-Jul-17,1427.2,1445.9,1427,1439.8,1439.914204,235558,5936,339183310,61401,26.07,18.9,12.6
04-Jul-17,1387.5,1425.5,1387.5,1422.7,1408.752288,740773,8837,1043565659,155441,20.98,38,35.2
03-Jul-17,1388,1394,1372.1,1384.1,1384.774533,195035,5238,270079501,65061,33.36,21.9,-3.9
30-Jun-17,1392.9,1394.2,1375.1,1380.25,1381.645371,105279,3545,145458243,28657,27.22,19.1,-12.65
29-Jun-17,1412,1418,1390.3,1392.9,1397.850003,137203,4952,191789214,38686,28.2,27.7,-19.1
28-Jun-17,1438.3,1440,1396.15,1398.5,1408.789588,206243,5693,290552991,67009,32.49,43.85,-39.8
27-Jun-17,1432,1440.05,1425,1435.9,1433.515854,412000,4632,590608532,278594,67.62,15.05,3.9
23-Jun-17,1439,1441.7,1430.9,1435,1437.618098,403436,7378,579986895,268218,66.48,10.8,-4
22-Jun-17,1430,1444,1428.65,1433.15,1437.650688,289088,6314,415607562,171814,59.43,15.35,3.15
21-Jun-17,1410,1427,1405.6,1418.1,1418.013088,1373738,6014,1947978464,1215382,88.47,21.4,8.1
20-Jun-17,1415,1422.6,1408.05,1412.25,1414.780467,580523,6953,821312601,476465,82.08,14.55,-2.75
19-Jun-17,1391.9,1415,1391,1409.15,1410.3111,446711,10720,630001482,274186,61.38,24,17.25
16-Jun-17,1388.8,1395,1370.1,1387.85,1382.310211,962742,8969,1330808097,698061,72.51,24.9,-0.95
15-Jun-17,1362,1394.25,1360,1384.5,1381.671735,1008637,11358,1393605234,666298,66.06,34.25,22.5
14-Jun-17,1318,1357.5,1315.75,1355.9,1346.743329,3489002,12379,4698790167,2977794,85.35,41.75,37.9
13-Jun-17,1316,1327,1309,1312.6,1318.761825,122599,3979,161678881,43619,35.58,18,-3.4
12-Jun-17,1329.5,1329.95,1317.5,1319.35,1321.401271,79440,3116,104972117,30168,37.98,12.45,-10.15
09-Jun-17,1344,1352,1330,1335.5,1340.461047,188033,4881,252050912,52408,27.87,22,-8.5
08-Jun-17,1340,1345,1328.1,1329.9,1332.542475,96115,3131,128077320,27339,28.44,16.9,-10.1
07-Jun-17,1312.8,1343.2,1308.6,1339.2,1328.533062,161546,4683,214619202,53582,33.17,34.6,26.4
06-Jun-17,1338.9,1338.9,1310.9,1313.4,1320.317325,120747,3988,159424356,43560,36.08,28,-25.5
05-Jun-17,1325,1340.5,1315.75,1328.9,1324.159957,263014,3488,348272607,188336,71.61,24.75,3.9
02-Jun-17,1330.05,1338.8,1316.6,1324.75,1325.887196,167733,5133,222395037,70969,42.31,22.2,-5.3
01-Jun-17,1338,1339.95,1323.05,1328.5,1329.418269,141483,4392,188090085,61769,43.66,16.9,-9.5
31-May-17,1368,1368,1336,1340.6,1354.208422,468501,3280,634448000,43368,9.26,32,-27.4
30-May-17,1356.55,1364.3,1349,1358.85,1357.306475,131032,4000,177850582,44338,33.84,15.3,2.3
29-May-17,1337.3,1365.9,1336,1356.55,1352.178448,452793,7297,612256936,273576,60.42,29.9,19.25
26-May-17,1302,1344.05,1301,1335.8,1326.745147,320020,9974,424584982,94334,29.48,43.05,33.8
25-May-17,1300,1311.75,1297.8,1302.9,1303.953157,108319,3824,141242902,34540,31.89,13.95,2.9
24-May-17,1305.65,1313.5,1295,1297,1303.17046,148240,4124,193181989,34313,23.15,18.5,-8.65
23-May-17,1324,1330.25,1301.5,1304.4,1312.360839,242172,5459,317817049,107905,44.56,28.75,-19.6
22-May-17,1322.55,1333.35,1315.05,1323.75,1322.830566,221714,4582,293290056,131370,59.25,18.3,1.2
19-May-17,1339,1339,1311.1,1318.5,1322.558162,155962,4820,206268816,44775,28.71,27.9,-20.5
18-May-17,1346.8,1352,1323.3,1327.05,1335.856129,115770,3357,154652064,43231,37.34,28.7,-19.75
17-May-17,1356,1364.85,1348.05,1352.4,1354.102976,124009,3540,167920956,38205,30.81,16.8,-3.6
16-May-17,1345,1377,1341.8,1356.4,1359.88939,360825,7104,490682089,181866,50.4,35.2,11.4
15-May-17,1354.5,1356.05,1334.5,1343.65,1344.340963,144526,4968,194292222,52931,36.62,21.55,-10.85
12-May-17,1363.9,1363.9,1344.2,1350.85,1353.369797,389836,4123,527592268,297979,76.44,19.7,-13.05
11-May-17,1361.6,1374.95,1352.25,1356.7,1360.013006,384194,4713,522508837,240652,62.64,22.7,-4.9
10-May-17,1333,1363,1331.45,1359.5,1352.988801,452629,8244,612401968,167364,36.98,31.55,26.5
09-May-17,1323,1333,1321,1330.6,1328.659498,183764,4441,244159784,72831,39.63,12,7.6
08-May-17,1328.6,1339.6,1320,1321.95,1329.388276,580916,5138,772262920,442947,76.25,19.6,-6.65
05-May-17,1361,1367.65,1325.05,1328.6,1343.476264,326756,9002,438988930,141416,43.28,42.6,-32.4
04-May-17,1373.1,1379.5,1354.65,1358.75,1364.25201,202734,6072,276580267,64647,31.89,24.85,-14.35
03-May-17,1375.25,1380.5,1365,1370.25,1370.942688,235239,4589,322499187,45943,19.53,15.5,-5
02-May-17,1400.1,1402,1366.75,1370.9,1376.139387,286125,7663,393747882,121597,42.5,35.25,-29.2
28-Apr-17,1409.05,1420.8,1390.5,1394.8,1403.238048,382297,5952,536453696,77456,20.26,30.3,-14.25
27-Apr-17,1420,1424.7,1402.75,1408.05,1407.564016,269517,5885,379362431,114964,42.66,21.95,-11.95
26-Apr-17,1435.1,1440,1403.15,1416.35,1422.112305,313494,9494,445823675,113313,36.15,36.85,-18.75
25-Apr-17,1459.7,1465,1427.65,1432.5,1442.879336,627397,16687,905258167,167022,26.62,37.35,-27.2
24-Apr-17,1410,1433.75,1400.1,1416.4,1417.986197,533960,14474,757147910,95816,17.94,33.65,6.4
21-Apr-17,1375.2,1420,1373.05,1399.75,1404.983147,720639,19098,1012485650,202493,28.1,46.95,24.55
20-Apr-17,1376.5,1386.9,1365.5,1369.4,1370.956889,288790,5348,395918640,160088,55.43,21.4,-7.1
19-Apr-17,1371,1382.7,1358.25,1369.85,1369.987993,208790,6130,286039793,69643,33.36,24.45,-1.15
18-Apr-17,1395.5,1410,1368.35,1370.45,1393.51384,358972,8648,500232450,100493,27.99,41.65,-25.05
17-Apr-17,1367.7,1394.25,1365,1391,1379.502443,321378,8358,443341736,113007,35.16,29.25,23.3
13-Apr-17,1352,1373,1348,1364.35,1365.041299,331002,9011,451831400,107697,32.54,25,12.35
12-Apr-17,1388.8,1388.8,1351.05,1354.15,1363.660461,578519,10966,788903486,178050,30.78,37.75,-34.65
11-Apr-17,1386,1400.3,1371,1374.1,1385.484629,364279,10098,504702955,85597,23.5,29.3,-11.9
10-Apr-17,1416,1424.7,1378,1381.05,1395.771143,386967,9783,540117372,145746,37.66,46.7,-34.95
07-Apr-17,1424.1,1433.75,1402.65,1405.55,1419.227065,672901,13510,954999311,275957,41.01,31.1,-18.55
06-Apr-17,1409.7,1448.5,1402.7,1438.35,1429.715738,1043156,20749,1491416550,255690,24.51,45.8,28.65
05-Apr-17,1388,1417.95,1380.8,1414.9,1401.903717,902558,21170,1265299415,290964,32.24,37.15,26.9
03-Apr-17,1332,1380,1332,1371.2,1365.654534,999005,25037,1364295708,410822,41.12,48,39.2
31-Mar-17,1270,1336,1268.95,1319.2,1306.174908,1673684,30483,2186124045,584998,34.95,67.05,49.2
30-Mar-17,1255,1272.8,1254.05,1269.35,1265.490155,438308,7762,554674459,197630,45.09,18.75,14.35
29-Mar-17,1250.05,1260,1234.1,1254.7,1245.714804,466255,9053,580820756,153478,32.92,25.9,4.65
28-Mar-17,1255.05,1263.35,1237,1245.65,1248.700204,436677,8517,545278659,179728,41.16,26.35,-9.4
27-Mar-17,1267.55,1278.5,1247.1,1250.75,1257.758211,888667,11812,1117728216,589152,66.3,31.4,-16.8
24-Mar-17,1274.1,1291.65,1268.4,1286.2,1282.673146,676818,18050,868136273,416735,61.57,23.25,12.1
23-Mar-17,1266.9,1277.75,1258.25,1274.1,1269.841419,295325,6880,375015917,141607,47.95,19.5,7.2
22-Mar-17,1254.7,1266,1247.55,1259.5,1256.238293,265278,8090,333252382,69713,26.28,18.45,4.8
21-Mar-17,1285.6,1285.6,1259.7,1263.8,1270.336729,245384,6363,311720308,95475,38.91,25.9,-21.8
20-Mar-17,1301,1305,1277.15,1280.35,1294.668024,392188764,7284,5.07754E+11,392028000,99.96,27.85,-20.65
17-Mar-17,1305,1319.85,1298.55,1300.65,1303.658658,281621,7185,367137655,111546,39.61,21.3,-4.35
16-Mar-17,1311,1311,1294.6,1297.35,1300.478291,306215,7513,398225960,132354,43.22,16.4,-13.65
15-Mar-17,1289.4,1316,1283.25,1304.4,1283.964029,389306469,12817,4.99856E+11,388938310,99.91,32.75,15
14-Mar-17,1315.95,1319.1,1285.25,1289.4,1298.93583,596869,12512,775294530,292030,48.93,33.85,-26.55
10-Mar-17,1293.95,1296.5,1261.5,1281.4,1282.529887,360490,8497,462339199,120414,33.4,35,-12.55
09-Mar-17,1289.8,1298,1281.7,1287.35,1284.041776,397311380,12637,5.10164E+11,396856492,99.89,16.3,-2.45
08-Mar-17,1307.05,1310,1286,1291.9,1293.474066,793869,8816,1026848963,259467,32.68,24,-15.15
07-Mar-17,1316.15,1326.75,1296.6,1304.8,1306.74257,1137634,19101,1486594777,607678,53.42,30.15,-11.35
06-Mar-17,1268,1309.9,1265.45,1304.9,1299.028568,1196154,34540,1553838218,373845,31.25,44.45,36.9
03-Mar-17,1237,1287.8,1237,1258.45,1268.360149,1194011,26509,1514435970,373635,31.29,50.8,21.45
02-Mar-17,1236,1254,1225.65,1233.25,1241.070848,410896,14803,509951047,134217,32.66,28.35,-2.75
01-Mar-17,1242,1244.9,1230.25,1234.15,1238.009142,822803,8805,1018637636,535858,65.13,14.65,-7.85
28-Feb-17,1237.8,1247.85,1228.55,1238.25,1241.680659,1730900,19085,2149225052,1134096,65.52,19.3,0.45
27-Feb-17,1187,1256.5,1187,1238.6,1241.07078,1340897,33448,1664148086,457703,34.13,69.5,51.6
23-Feb-17,1213.9,1222.3,1179.2,1182.6,1196.635867,1089289,29427,1303482287,262061,24.06,43.1,-31.3
22-Feb-17,1092.05,1212,1092.05,1207.65,1177.979626,3331421,86148,3924346062,1181467,35.46,119.95,115.6
21-Feb-17,1072.3,1090.55,1072.3,1088.25,1083.763326,280191,8484,303660730,85602,30.55,18.25,15.95
20-Feb-17,1070,1077,1066.25,1073.7,1074.099799,229511,4571,246517719,109826,47.85,10.75,3.7
17-Feb-17,1066,1077.9,1059,1075.35,1071.050362,315041,7754,337424777,138359,43.92,18.9,9.35
16-Feb-17,1052,1067,1052,1064.95,1061.613062,196538,6317,208647308,83705,42.59,15,12.95
15-Feb-17,1053,1057.5,1046.05,1050.9,1052.697024,227916,5577,239926495,93038,40.82,11.45,-2.1
14-Feb-17,1033.35,1052.5,1031.2,1048.25,1046.415032,273085,11919,285760249,113054,41.4,21.3,14.9
13-Feb-17,1034,1035,1022,1028.35,1026.346864,189181,3841,194165326,106544,56.32,13,-5.65
10-Feb-17,1035,1035.9,1025.95,1030.3,1030.980842,136547,5037,140777341,59006,43.21,9.95,-4.7
09-Feb-17,1026,1034.45,1026,1032.7,1030.987383,141795,3424,146188856,65092,45.91,8.45,6.7
08-Feb-17,1031.15,1038.45,1023,1025.65,1028.012978,192093,4366,197474097,83451,43.44,15.45,-5.5
07-Feb-17,1040.3,1040.75,1027.6,1030.7,1032.207856,111221,3322,114803190,44567,40.07,13.15,-9.6
06-Feb-17,1036.05,1043.9,1032.5,1040.1,1037.905306,501838,4223,520860323,426822,85.05,11.4,4.05
03-Feb-17,1044.75,1050.1,1031.05,1033.7,1038.765254,118332,4317,122919170,40076,33.87,19.05,-11.05
02-Feb-17,1047.05,1050,1038.55,1044.75,1044.302317,812495,3748,848490411,245141,30.17,11.45,-2.3
01-Feb-17,1045.2,1050.85,1034.7,1049.2,1043.287399,253689,7810,264670537,70715,27.87,16.15,4
31-Jan-17,1047,1053.9,1040.75,1043.4,1046.251421,163944,6732,171526643,70010,42.7,13.15,-3.6
30-Jan-17,1025.15,1045.8,1024.9,1044.15,1035.179456,330309,11816,341929091,150671,45.62,20.9,19
27-Jan-17,1019.7,1028.95,1019,1025.15,1024.807445,279811,6621,286752396,133367,47.66,9.95,5.45
25-Jan-17,1035,1035,1016.1,1016.7,1018.821654,587082,10017,598131854,466620,79.48,18.9,-18.3
24-Jan-17,1020,1030,1018.6,1027.55,1024.255342,115731,4701,118538095,35604,30.76,11.4,7.55
23-Jan-17,1024,1031,1014.05,1015.95,1020.29094,198546,6113,202574685,56177,28.29,16.95,-8.05
20-Jan-17,1033,1037.7,1024.4,1025.7,1029.469067,579325,4736,596397167,446110,77.01,13.3,-7.3
19-Jan-17,1033.35,1044.65,1031,1033.75,1037.738909,237906,6313,246884313,79821,33.55,13.65,0.4
18-Jan-17,1043,1048.15,1029,1032.45,1036.170167,330933,11937,342902902,138892,41.97,19.15,-10.55
17-Jan-17,1068.2,1074.7,1038,1041.3,1049.048913,705492,16000,740095616,277854,39.38,36.7,-26.9
16-Jan-17,1091.4,1093.85,1074,1077,1079.873408,131122,5464,141595161,50406,38.44,19.85,-14.4
13-Jan-17,1085.7,1096.6,1085.2,1090.15,1091.172564,178450,5260,194719744,70877,39.72,11.4,4.45
12-Jan-17,1088.45,1090,1079.15,1083.15,1083.946841,120619,4616,130744584,46612,38.64,10.85,-5.3
11-Jan-17,1094.35,1095,1082,1084.1,1086.697473,88630,3229,96313997,28114,31.72,13,-10.25
10-Jan-17,1079,1092,1078.25,1087.1,1088.389747,206226,7565,224454264,102162,49.54,13.75,8.1
09-Jan-17,1079,1085.7,1071.1,1077.1,1078.959295,236337,4114,254998003,152444,64.5,14.6,-1.9
06-Jan-17,1075.3,1085,1072.55,1072.7,1074.794026,436493,4700,469140069,64092,14.68,12.45,-2.6
05-Jan-17,1073,1079.5,1069,1077.4,1077.591149,159733,3363,172126867,92638,58,10.5,4.4
04-Jan-17,1092.15,1092.45,1065.35,1068.95,1074.889294,142748,5226,153438297,36616,25.65,27.1,-23.2
03-Jan-17,1084.15,1097,1081.25,1090.65,1091.875078,199293,5331,217603060,80355,40.32,15.75,6.5
02-Jan-17,1081.35,1089.45,1073.15,1083.1,1085.766293,182947,4717,198637686,77305,42.26,16.3,1.75
30-Dec-16,1066.8,1084.7,1064,1080.1,1079.653094,653398,8434,705443172,405098,62,20.7,13.3
29-Dec-16,1051.65,1068.6,1049.5,1064.95,1058.232604,98962,3809,104724815,26451,26.73,19.1,13.3
28-Dec-16,1068,1069.9,1048.4,1052.2,1062.748462,546777,4664,581086416,453772,82.99,21.5,-15.8
27-Dec-16,1047.1,1066.7,1047.1,1064.4,1054.960412,560443,7152,591245178,417160,74.43,19.6,17.3
26-Dec-16,1055.6,1066,1045,1047.1,1050.924167,369114,4495,387910823,272167,73.74,21,-8.5
23-Dec-16,1050.6,1068.45,1050.6,1058.15,1059.567042,304475,4166,322611675,172678,56.71,17.85,7.55
22-Dec-16,1059.9,1061.55,1050.35,1053.95,1058.371555,622987,5426,659351720,517903,83.13,11.2,-5.95
21-Dec-16,1059,1066.35,1056.5,1061.45,1060.869887,273117,6195,289741601,188109,68.87,9.85,2.45
20-Dec-16,1057.3,1062,1054,1059.1,1058.854217,779055,4082,824905672,661760,84.94,8,1.8
19-Dec-16,1058,1065.8,1055,1062.15,1064.146429,726659,5072,773271580,498840,68.65,10.8,4.15
16-Dec-16,1050,1062,1050,1057.55,1057.665518,297923,3674,315102884,197989,66.46,12,7.55
15-Dec-16,1056.75,1066.8,1051,1054.2,1059.207077,202780,6774,214786011,55039,27.14,15.8,-2.55
14-Dec-16,1039.5,1064.4,1039.4,1060,1059.396715,519532,8586,550390494,318680,61.34,25,20.5
13-Dec-16,1032,1042,1028.5,1039.9,1037.885168,97743,4028,101446010,37965,38.84,13.5,7.9
12-Dec-16,1026.85,1040,1022.15,1028.1,1033.530121,110937,5237,114656731,32953,29.7,17.85,1.25
09-Dec-16,1020.5,1029.6,1020.3,1026.4,1026.134326,117758,4063,120835526,40702,34.56,9.3,5.9
08-Dec-16,1003.1,1021,1003.1,1019.55,1016.136355,123560,4625,125553808,45221,36.6,17.9,16.45
07-Dec-16,1007,1007,995.65,999.7,1002.285054,76196,2476,76370112,18062,23.7,11.35,-7.3
06-Dec-16,995,1004.9,995,1003.35,999.6216325,101856,3728,101817461,30678,30.12,9.9,8.35
05-Dec-16,994,998.75,987.55,994.1,993.6559156,100455,4007,99817705,23283,23.18,11.2,0.1
02-Dec-16,995,1005.6,993.05,995.3,1000.447414,190233,5476,190318113,82005,43.11,12.55,0.3
01-Dec-16,996.15,1014.6,994.5,997.2,1005.104287,234382,9310,235578353,54585,23.29,20.1,1.05
30-Nov-16,997,997.6,988,992.75,992.0154524,267661,4785,265523848,185542,69.32,9.6,-4.25
29-Nov-16,987.1,1002.7,987.1,995.85,991.9829091,289686,4400,287363561,206014,71.12,15.6,8.75
28-Nov-16,994.8,1000.05,984,986.45,990.9797988,91529,5109,90703390,31329,34.23,16.05,-8.35
25-Nov-16,991,996,985,993.65,990.1619623,285338,5263,282530834,164766,57.74,11,2.65
24-Nov-16,1006.9,1006.9,986,990.65,991.9287835,212535,5710,210819584,76600,36.04,20.9,-16.25
23-Nov-16,1005,1008.5,999.5,1007.25,1005.048815,125106,3935,125737637,47431,37.91,9,2.25
22-Nov-16,994.25,1007.5,994.05,1001.1,1000.709816,133026,6591,133120424,44860,33.72,13.45,6.85
21-Nov-16,988,993.7,983.5,990.9,988.4740663,362810,5930,358628276,223498,61.6,10.2,2.9
18-Nov-16,983.15,992.15,982.9,987.5,988.1446811,288856,6389,285431520,168353,58.28,9.25,4.35
17-Nov-16,987,998,975.85,981.3,986.9371598,418920,8257,413447715,262975,62.77,22.15,-5.7
16-Nov-16,989.3,996.7,982,985.85,991.4202241,346508,7099,343535039,226634,65.41,14.7,-3.45
15-Nov-16,1001.8,1001.8,980.55,987.6,989.5680816,566144,8405,560238032,292189,51.61,21.25,-14.2
